Type	Time
syn1	7.244228
ctrl	7.205635
syn1	7.293018
syn2	7.276556
syn3	7.282074
ctrl	7.272398
syn1	7.304516
syn2	7.273093
syn3	7.280008
ctrl	7.269617
syn1	7.323831
syn2	7.308543
syn3	7.319865
ctrl	7.203406
syn3	7.341484
syn1	7.268920
syn2	7.214504
syn3	7.243513
ctrl	7.259820
syn1	7.231287
ctrl	7.274480
ctrl	7.268920
syn1	7.248504
syn2	7.276556
ctrl	7.301148
syn1	7.284135
syn2	7.214504
ctrl	7.232010
syn1	7.262629
syn2	7.215975
ctrl	7.260523
syn1	7.267525
syn2	7.236339
ctrl	7.264030
syn1	7.252762
syn2	7.203406
ctrl	7.271009
syn1	7.252762
syn2	7.265430
syn3	7.268920
syn2	7.297768
ctrl	7.246368
syn1	7.277939
syn2	7.220374
syn3	7.300473
ctrl	7.303170
syn1	7.292337
syn2	7.284135
syn1	7.258412
syn2	7.291656
syn3	7.276556
ctrl	7.259820
syn1	7.258412
syn2	7.235619
syn3	7.233455
ctrl	7.274480
syn1	7.296413
syn2	7.287561
syn3	7.241366
syn2	7.285507
syn3	7.302496
syn2	7.293698
syn3	7.309881
syn1	7.294377
syn2	7.238497
syn3	7.254885
ctrl	7.292337
syn1	7.282074
syn2	7.286192
syn3	7.294377
ctrl	7.210080
syn1	7.229839
syn2	7.235619
syn3	7.261927
syn3	7.280697
ctrl	7.262629
syn1	7.247793
syn2	7.335634
syn3	7.189168
ctrl	7.249215
syn1	7.229114
ctrl	7.208600
syn3	7.295735
syn1	7.285507
syn2	7.299121
ctrl	7.249215
syn2	7.255591
syn3	7.270313
syn1	7.264030
syn2	7.272398
syn3	7.323831
syn1	7.259116
syn2	7.266827
syn3	7.317876
syn3	7.315884
ctrl	7.264030
syn1	7.200425
syn2	7.295735
syn3	7.218177
ctrl	7.288244
syn1	7.250636
syn2	7.275172
syn3	7.261225
ctrl	7.261927
syn1	7.280008
syn2	7.261225
syn3	7.266827
syn1	7.237778
syn2	7.248504
syn3	7.195937
ctrl	7.331060
syn1	7.234177
syn2	7.275172
ctrl	7.264030
syn1	7.316548
syn3	7.245655
ctrl	7.262629
syn1	7.274480
syn2	7.259820
syn1	7.287561
syn2	7.264030
syn3	7.307873
ctrl	7.259820
syn1	7.297091
syn2	7.271009
syn3	7.247793
ctrl	7.261225
syn2	7.244228
ctrl	7.172425
syn2	7.230563
syn3	7.182352
ctrl	7.252054
syn1	7.242082
syn2	7.263330
ctrl	7.310550
syn1	7.274480
syn2	7.294377
syn3	7.211557
ctrl	7.275865
syn1	7.284135
syn2	7.275865
syn3	7.275865
ctrl	7.317876
syn1	7.241366
syn2	7.235619
syn3	7.196687
ctrl	7.252054
syn1	7.336286
syn2	7.277248
syn3	7.261927
ctrl	7.282761
syn1	7.317212
syn2	7.296413
syn3	7.330405
ctrl	7.256297
syn1	7.247793
syn2	7.267525
syn3	7.308543
ctrl	7.175490
syn1	7.198931
syn3	7.210080
ctrl	7.331715
syn1	7.263330
syn2	7.275172
syn3	7.246368
ctrl	7.329094
syn1	7.272398
syn2	7.273093
syn3	7.269617
ctrl	7.250636
syn1	7.254178
syn2	7.251345
ctrl	7.271704
ctrl	7.270313
syn1	7.284821
syn2	7.186144
syn3	7.319865
ctrl	7.221836
syn1	7.254885
syn2	7.204149
ctrl	7.309212
syn1	7.248504
syn2	7.334982
syn3	7.271704
ctrl	7.264030
syn1	7.319865
syn2	7.288928
ctrl	7.230563
syn1	7.186901
syn2	7.267525
syn3	7.207860
ctrl	7.301822
syn3	7.319202
ctrl	7.204149
syn1	7.228388
syn2	7.198931
ctrl	7.340836
syn1	7.262629
syn2	7.206377
syn3	7.280008
ctrl	7.175490
syn1	7.280697
ctrl	7.253470
syn1	7.214504
syn2	7.219642
ctrl	7.323831
syn1	7.271009
syn2	7.259820
syn3	7.204149
ctrl	7.284135
syn1	7.326466
syn2	7.272398
syn3	7.261225
ctrl	7.266827
syn1	7.272398
syn2	7.259820
ctrl	7.246368
syn1	7.241366
syn2	7.239215
ctrl	7.259116
syn1	7.244228
syn2	7.286192
syn3	7.279319
ctrl	7.252762
syn1	7.215240
syn2	7.203406
ctrl	7.252054
syn1	7.249215
syn2	7.248504
syn3	7.218177
ctrl	7.259116
syn1	7.253470
syn2	7.266827
syn3	7.264030
syn3	7.332369
ctrl	7.253470
syn1	7.282074
syn2	7.278629
syn3	7.271009
ctrl	7.261225
syn1	7.258412
syn2	7.268223
syn3	7.262629
ctrl	7.255591
syn1	7.345365
syn2	7.273093
syn3	7.292337
ctrl	7.266827
syn2	7.264030
syn3	7.255591
ctrl	7.246368
syn1	7.347300
syn2	7.295056
syn3	7.283448
ctrl	7.246368
syn1	7.222566
syn2	7.244228
ctrl	7.318540
syn1	7.340187
syn3	7.339538
ctrl	7.256297
syn1	7.275172
syn2	7.251345
syn3	7.268223
syn2	7.186901
ctrl	7.300473
syn1	7.196687
syn2	7.211557
syn3	7.185387
ctrl	7.276556
syn1	7.273786
syn2	7.347944
syn3	7.287561
ctrl	7.256297
syn1	7.286192
syn2	7.249215
syn3	7.218910
ctrl	7.317876
syn1	7.209340
syn2	7.276556
syn3	7.268920
ctrl	7.255591
syn1	7.305860
syn2	7.264730
syn3	7.309881
ctrl	7.264030
syn1	7.271704
syn2	7.291656
syn3	7.271009
ctrl	7.255591
syn1	7.273786
syn2	7.273093
ctrl	7.335634
syn3	7.290293
ctrl	7.258412
syn1	7.297768
syn2	7.249926
ctrl	7.222566
syn1	7.226209
syn2	7.264030
syn3	7.189922
ctrl	7.201916
syn1	7.294377
syn2	7.238497
ctrl	7.213032
syn2	7.313220
syn3	7.258412
syn3	7.271009
ctrl	7.272398
